Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,1479,15.6652,8,14243,2.67
SflkTjvnKwU,Data.CSV into Data.AVI back to Data.TXT || YouTube as Infinite Storage Glitch || #imvickykumar999,"Apr 14, 2023",333,0.71,1,29,6.9
zDIOYQ35IC0,Lamborghini || #shorts,"Mar 20, 2023",276,0.6278,1,149,0.67
VGq2lL1OSD8,"See 🔭 Mars, near 🌙 Moon || This is real time position of Planets and Constellation || 28 March 2023","Mar 28, 2023",152,2.2933,2,3757,3.54
DJFPlBOpSXs,CCTV footage of Pulwama attack on 14 February 2019,"Feb 17, 2019",64,0.3244,0,574,4.7
ipV9fwoPy8U,Vestido Sobe Song Visualizer,"Mar 8, 2023",59,0.9218,0,341,6.74
p4_mlkkad-s,Minecraft Underground || Gameplay || #imvickykumar999,"Mar 24, 2023",46,0.3932,0,1333,1.88
cWV8vfdbFL4,YouTube as Infinite File Storage || Clone || QR Code of Text / CSV File || #imvickykumar999,"Apr 13, 2023",40,0.1408,0,47,2.13
Zm_SIzmU8Xg,keywords.CSV into keywords.AVI || YOUTUBE AS INFINITE FILE STORAGE || #imvickykumar999,"Apr 13, 2023",32,0.0743,0,18,5.56
vPge19fqR5o,SQL Injection.py into QRcode.avi || YouTube Infinite Storage Glitch || #imvickykumar999,"Apr 13, 2023",32,0.107,1,30,10
_NEdR0A8zEo,Sample.HTML into Test.AVI back to Data.TXT || YouTube as Infinite Storage Glitch || #imvickykumar999,"Apr 14, 2023",31,0.0698,0,17,5.88
3xDOjHZa5bo,Real Time Car Parking System || IOT Project || Arduino IDE || ESP8266 || Firebase || Flask Framework,"Apr 3, 2021",28,0.3055,0,299,6.02
fvtTdTAbk0Y,⛏️ Creating Tools with Crafting Table || Minecraft || Underground Lavafall 🔥|| #imvickykumar999,"Mar 30, 2023",27,0.6349,0,1913,1.1
bAvgxIyTGRc,Maze 3D Game || Minecraft || Ursina Engine || Panda3D || Python Language || #imvickykumar999,"Mar 11, 2023",25,0.2021,0,199,7.54
nYVj4BmR0bM,Login using SQL Injection 💉 via Selenium web Automation || Reels Downloader App || #imvickykumar999,"Mar 20, 2023",25,0.1713,1,259,1.16
o5IxPzrOYEc,Minecraft and Just Cause 2 || Gameplay || Underground Cave and Lavafall,"Mar 26, 2023",23,2.6322,0,524,0.76
C9N23IcLvQY,Minecraft vs Wild || Gameplay || Underground Lavafall 🔥,"Mar 29, 2023",21,1.1193,0,509,1.57
